instance,ea,gsr,vns,opt,initialSolution,timeMeasure,instanceSet,dynamicFrequency,dynamicChangeType,dynamicIntensity
LGF-Berlin-100-80000-1-greedy-evaluation-none,0.202461428571429,0.205912857142857,0.228571428571429,250,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-evaluation-none,0.343944150943396,0.320662641509434,0.388679245283019,250,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-evaluation-none,0.226072936660269,0.238784644913628,0.255278310940499,250,greedy,evaluation,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-none,0.695005947689,0.679242278753135,0.711214618416338,250,greedy,evaluation,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-none,0.959240430541541,0.90547931382442,0.967120753447696,250,greedy,evaluation,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-none,0.93539415305245,0.906921582115219,0.941530524505589,250,greedy,evaluation,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-evaluation-none,0.89926913155632,0.869798108340499,0.904127257093723,250,greedy,evaluation,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-evaluation-none,0.853099424184261,0.821735124760077,0.878716314779271,250,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-evaluation-none,0.812244839857651,0.74164768683274,0.825978647686833,250,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-evaluation-none,0.875793644859813,0.789085607476635,0.900868785046729,250,greedy,evaluation,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-bitVector-none,0.202634285714285,0.213152142857143,0.228496428571429,250,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-bitVector-none,0.349636226415094,0.338459622641509,0.386344905660378,250,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-bitVector-none,0.227551631477927,0.248632629558541,0.255278310940499,250,greedy,bitVector,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-none,0.695351630240057,0.686104765317091,0.707276818344679,250,greedy,bitVector,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-none,0.959299393950315,0.920330969799625,0.965806394454855,224,greedy,bitVector,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-none,0.93540619088564,0.916265864144454,0.938159931212382,250,greedy,bitVector,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-none,0.89926913155632,0.881049355116079,0.904127257093723,250,greedy,bitVector,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-bitVector-none,0.853039539347408,0.841847984644914,0.872211900191939,250,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-bitVector-none,0.812103914590747,0.752458362989324,0.824942348754448,250,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-bitVector-none,0.873908785046729,0.804041121495327,0.887865420560748,250,greedy,bitVector,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C10,0.224352142857143,0.222581428571429,0.243172142857143,250,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C25,0.193875,0.206973571428571,0.212447142857143,250,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C5,0.219626428571429,0.231589285714286,0.240619285714286,250,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C50,0.190002857142857,0.187397142857143,0.211637857142857,250,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C10,0.181712857142857,0.196842857142857,0.200397142857143,250,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C25,0.229896428571429,0.229946428571429,0.255392142857143,250,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C5,0.208901428571428,0.212885714285714,0.230622142857143,250,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C50,0.283670714285714,0.294776428571429,0.304793571428571,250,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C10,0.220882142857143,0.224451428571429,0.235095714285714,250,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C25,0.191096428571429,0.204244285714286,0.213694285714286,250,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C5,0.20077,0.216100714285714,0.225006428571429,250,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C50,0.214552142857143,0.227273571428571,0.23442,250,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C10,0.250352142857143,0.262912857142857,0.278182142857143,250,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C25,0.18425,0.191802142857143,0.212023571428571,250,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C5,0.184622857142857,0.19938,0.207574285714286,250,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C50,0.239380714285714,0.240444285714286,0.272219285714286,250,greedy,evaluation,Berlin,L50,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C10,0.352682264150943,0.322640754716981,0.391418867924528,250,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C25,0.377877735849057,0.356916226415094,0.41202037735849,250,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C5,0.360692075471698,0.339750943396226,0.395369056603774,250,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C50,0.378550943396226,0.374612830188679,0.410618867924528,250,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C10,0.327412075471698,0.319591698113208,0.359538113207547,250,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C25,0.376475471698113,0.375227169811321,0.41127320754717,250,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C5,0.36977358490566,0.344941886792453,0.393855094339623,250,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C50,0.413289056603773,0.41028679245283,0.437038490566038,250,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C10,0.3518,0.33591320754717,0.386686037735849,250,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C25,0.386792452830189,0.384258867924528,0.416300377358491,250,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C5,0.350044528301887,0.320713962264151,0.383598490566038,250,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C50,0.331720754716981,0.319913962264151,0.367644528301887,250,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C10,0.349340377358491,0.334354716981132,0.380457358490566,250,greedy,evaluation,Berlin,L50,absolute,C10
